Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2018,X,Uganda,World,World,TOTAL CPC,TOTAL MOT,852352,"$3,565",15,,u,1,u,1
2018,X,Ukraine,World,World,TOTAL CPC,TOTAL MOT,852352,"$40,765,814",394493,,u,17955116,N/A,
2018,X,North Macedonia,World,World,TOTAL CPC,TOTAL MOT,852352,"$17,457",112,,u,17251,u,17251
2018,X,Egypt,World,World,TOTAL CPC,TOTAL MOT,852352,"$1,322,066",5743,,N/A,,N/A,
2018,X,United Kingdom,World,World,TOTAL CPC,TOTAL MOT,852352,"$102,285,165",1966789,,N/A,,N/A,
2018,X,United Rep. of Tanzania,World,World,TOTAL CPC,TOTAL MOT,852352,$65,,,N/A,,N/A,
2018,X,USA,World,World,TOTAL CPC,TOTAL MOT,852352,"$229,868,806",998580,,u,448122081,N/A,
2018,X,Uruguay,World,World,TOTAL CPC,TOTAL MOT,852352,"$6,991",2,,N/A,,kg,2
2018,X,Samoa,World,World,TOTAL CPC,TOTAL MOT,852352,$1,0,,u,1,u,1
2018,X,T?rkiye,World,World,TOTAL CPC,TOTAL MOT,854233,"$339,431",20455,,N/A,,kg,20455
2018,X,Uganda,World,World,TOTAL CPC,TOTAL MOT,854233,$420,2,,u,6,u,6
2018,X,Ukraine,World,World,TOTAL CPC,TOTAL MOT,854233,"$635,127",401,,N/A,,N/A,
2018,X,United Kingdom,World,World,TOTAL CPC,TOTAL MOT,854233,"$48,750,318",176924,,N/A,,N/A,
2018,X,United Rep. of Tanzania,World,World,TOTAL CPC,TOTAL MOT,854233,"$1,913,536",,,N/A,,N/A,
2018,X,USA,World,World,TOTAL CPC,TOTAL MOT,854233,"$2,836,703,806",,,u,2614155896,N/A,
2018,X,Uruguay,World,World,TOTAL CPC,TOTAL MOT,854233,$37,0,,u,116,u,116
2018,X,T?rkiye,World,World,TOTAL CPC,TOTAL MOT,854239,"$5,441,690",316095,,N/A,,kg,316095
2018,X,Uganda,World,World,TOTAL CPC,TOTAL MOT,854239,$55,20,,u,20,u,20
2018,X,Ukraine,World,World,TOTAL CPC,TOTAL MOT,854239,"$4,243,186",3774,,u,6208786,u,6208786
2018,X,North Macedonia,World,World,TOTAL CPC,TOTAL MOT,854239,"$8,359",86,,N/A,,N/A,
2018,X,Egypt,World,World,TOTAL CPC,TOTAL MOT,854239,"$7,394,781",,,N/A,,N/A,
